City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kyzyl-suu,42.3414,78.0056,-1.23,81,100,5.13,KG,1707764572
83,santa ana,33.7456,-117.8678,19.35,46,0,2.57,US,1707764112
84,talnakh,69.4865,88.3972,-35.98,91,5,1.64,RU,1707764452
85,atafu village,-8.5421,-172.5159,29.26,76,100,8.34,TK,1707764374
86,nar'yan-mar,67.6713,53.087,-32.72,100,40,2.24,RU,1707764572
87,lazaro cardenas,17.9583,-102.2,28.16,55,72,4.51,MX,1707764573
88,biryusinsk,55.9634,97.8235,-12.44,90,100,4.66,RU,1707764573
89,qaqortoq,60.7167,-46.0333,-3.57,70,100,3.81,GL,1707764374
90,tiksi,71.6872,128.8694,-32.68,100,100,1.04,RU,1707764361
91,lae,-6.7221,146.9847,24.32,96,91,1.57,PG,1707764573
92,luderitz,-26.6481,15.1594,18.85,89,0,5.59,NA,1707764357
93,yanam,16.7333,82.2167,21.06,81,98,1.86,IN,1707764383
94,port mathurin,-19.6833,63.4167,27.31,86,32,9.51,MU,1707764363
95,hotan,37.0997,79.9269,5.62,31,100,2.35,CN,1707764464
96,crane,31.3974,-102.3501,10.68,35,0,4.6,US,1707764387
97,kailua-kona,19.6406,-155.9956,25.28,77,48,0.89,US,1707764458
98,ola,59.5833,151.2833,-24.46,95,96,2.94,RU,1707764574
99,port elizabeth,-33.918,25.5701,23.39,86,0,6.17,ZA,1707764392
100,ma'an,26.9775,110.7211,12.93,76,100,0.61,CN,1707764574
101,isafjordur,66.0755,-23.124,0.33,96,100,11.1,IS,1707764362
102,taperoa,-7.2075,-36.8267,32.22,35,16,7.56,BR,1707764574
103,shache,38.4167,77.2406,8.73,34,100,5.31,CN,1707764574
104,yellowknife,62.456,-114.3525,-11.71,92,75,2.06,CA,1707764358
105,zdvinsk,54.7021,78.661,-25.39,99,12,3.2,RU,1707764574
106,tanumah,27.1,44.1333,14.69,57,15,3.2,SA,1707764574
107,serchhip,23.3,92.8333,8.48,60,60,1.34,IN,1707764574
108,hithadhoo,-0.6,73.0833,27.28,81,100,7.73,MV,1707764393
109,georgetown,5.4112,100.3354,27.96,71,20,4.12,MY,1707764197
110,tangstedt,53.7488,10.0645,7.27,72,40,3.09,DE,1707764575
111,ribeira grande,38.5167,-28.7,17.65,82,40,12.07,PT,1707764364
112,puerto san jose,13.9256,-90.8244,31.36,48,1,4.81,GT,1707764575
113,vilyuysk,63.7553,121.6247,-26.89,97,100,2.66,RU,1707764575
114,east london,-33.0153,27.9116,23.52,78,0,7.2,ZA,1707764375
115,kilindoni,-7.9139,39.6668,28.59,78,100,3.48,TZ,1707764575
116,arraial do cabo,-22.9661,-42.0278,31.98,58,0,9.26,BR,1707764361
117,st. john's,47.5649,-52.7093,2.66,94,100,5.14,CA,1707764373
118,papatowai,-46.5619,169.4708,10.93,83,100,1.41,NZ,1707764381
119,puerto ayora,-0.7393,-90.3518,27.98,99,52,2.68,EC,1707764377
120,fale old settlement,-9.3852,-171.2468,27.74,86,100,8.12,TK,1707764377
121,lebu,-37.6167,-73.65,14.57,69,0,11.7,CL,1707764382
122,hun,29.1268,15.9477,17.57,28,5,3.11,LY,1707764576
123,fisterra,42.9049,-9.2629,13.19,85,100,7.7,ES,1707764576
124,hadibu,12.65,54.0333,25.23,77,5,4.09,YE,1707764372
125,gadzhiyevo,69.2551,33.3362,-11.74,92,80,4.68,RU,1707764375
126,afaahiti,-17.75,-149.2833,24.93,91,100,8.25,PF,1707764366
127,noshiro,40.2039,140.0242,6.91,73,100,8.51,JP,1707764576
128,tshabong,-26.05,22.45,32.37,19,1,3.8,BW,1707764576
129,holualoa,19.6228,-155.9522,23.21,77,7,1.67,US,1707764401
130,gotsucho,35.0,132.2167,5.12,71,0,2.69,JP,1707764577
131,kitimat,54.0524,-128.6534,1.06,77,93,0.45,CA,1707764577
132,ixtapa,20.7,-105.2,28.1,36,100,2.84,MX,1707764577
133,whitehorse,60.7161,-135.0538,-8.44,81,20,1.54,CA,1707764357
134,quellon,-43.1167,-73.6167,14.86,50,21,5.08,CL,1707764577
135,general villegas,-35.0328,-63.0125,26.78,46,16,7.62,AR,1707764577
136,tongliao,43.6125,122.2653,-0.15,71,0,6.56,CN,1707764577
137,kamaishi,39.2667,141.8833,2.95,72,5,3.59,JP,1707764577
138,barcelos,41.5388,-8.6151,14.36,90,100,2.0,PT,1707764512
139,happy valley-goose bay,53.3168,-60.3315,-1.83,74,100,2.57,CA,1707764195
140,tukrah,32.5341,20.5791,14.43,66,100,4.81,LY,1707764578
141,havre,49.5833,0.3333,6.87,81,0,3.6,FR,1707764578
142,codrington,-38.2667,141.9667,16.13,70,5,1.81,AU,1707764433
143,juruti,-2.1522,-56.0922,30.3,68,19,2.13,BR,1707764578
144,bocanda,7.0626,-4.4995,34.29,28,40,1.34,CI,1707764578
145,tefe,-3.3542,-64.7114,32.06,66,75,2.57,BR,1707764424
146,byron bay,-28.65,153.6167,18.73,61,94,2.84,AU,1707764456
147,enewetak,11.3474,162.3373,26.39,74,100,9.34,MH,1707764360
148,mahasamund,21.1,82.1,23.15,62,100,3.1,IN,1707764578
149,dryden,49.7833,-92.7503,-5.84,68,75,2.06,CA,1707764367
150,spring creek,40.7266,-115.5859,3.17,51,100,2.24,US,1707764411
151,puerto armuelles,8.2833,-82.8667,33.99,57,98,0.45,PA,1707764579
152,tazacorte,28.629,-17.9293,20.54,92,75,2.57,ES,1707764411
153,kodiak,57.79,-152.4072,5.73,81,100,7.72,US,1707764360
154,cam pha mines,21.0167,107.3,15.68,85,100,2.02,VN,1707764579
155,suva,-18.1416,178.4415,25.71,94,100,2.06,FJ,1707764579
156,south hedland,-20.4089,118.5983,26.96,89,100,4.12,AU,1707764579
157,tofol,5.3248,163.0078,27.73,80,100,6.96,FM,1707764579
158,chibougamau,49.9168,-74.3659,-9.21,79,100,3.09,CA,1707764375
159,al qadarif,14.0349,35.3834,28.18,17,94,3.32,SD,1707764552
160,utrik,11.2278,169.8474,26.23,76,100,9.51,MH,1707764388
161,salym,60.0625,71.4789,-29.13,100,7,1.35,RU,1707764580
162,aasiaat,68.7098,-52.8699,-30.26,97,100,2.66,GL,1707764417
163,acarau,-2.8856,-40.12,29.71,70,83,8.45,BR,1707764584
164,bandarbeyla,9.4942,50.8122,25.89,79,0,4.56,SO,1707764584
165,hamilton,39.1834,-84.5333,10.51,56,8,2.68,US,1707764416
166,lata,40.1629,-8.3327,15.45,94,74,1.09,PT,1707764585
167,restrepo,3.822,-76.5224,27.19,75,67,2.69,CO,1707764585
168,nchelenge,-9.3451,28.734,23.14,81,100,1.27,ZM,1707764585
